"title","authors","year"
"The Geometry of Cortical Computation: Manifold Disentanglement and Predictive Dynamics in VCNet","Brennen A. Hill, 
      
      Zhang Xinyu, 
      
      Timothy Putra Prasetio",2025
"Quantum computation of molecular geometry via many-body nuclear spin echoes","C. Zhang, 
      
      R. G. Cortiñas, 
      
      A. H. Karamlou, 
      
      N. Noll, 
      
      J. Provazza, 
      
      J. Bausch, 
      
      S. Shirobokov, 
      
      A. White, 
      
      M. Claassen, 
      
      S. H. Kang, 
      
      A. W. Senior, 
      
      N. Tomašev, 
      
      J. Gross, 
      
      K. Lee, 
      
      T. Schuster, 
      
      W. J. Huggins, 
      
      H. Celik, 
      
      A. Greene, 
      
      B. Kozlovskii, 
      
      F. J. H. Heras, 
      
      A. Bengtsson, 
      
      A. Grajales Dau, 
      
      I. Drozdov, 
      
      B. Ying, 
      
      W. Livingstone
      , et al. (298 additional authors not shown)",2025
"Computing entanglement costs of non-local operations on the basis of algebraic geometry","Seiseki Akibue, 
      
      Jisho Miyazaki, 
      
      Hiroyuki Osaka",2025
"Algorithms for Dynamic Computational Geometry with Applications","Laurence Boxer",2025
"Large-scale Efficient Molecule Geometry Optimization with Hybrid Quantum-Classical Computing","Yajie Hao, 
      
      Qiming Ding, 
      
      Xiaoting Wang, 
      
      Xiao Yuan",2025
"Entropy-Bounded Computational Geometry Made Easier and Sensitive to Sortedness","David Eppstein, 
      
      Michael T. Goodrich, 
      
      Abraham M. Illickan, 
      
      Claire A. To",2025
"Robust Paths: Geometry and Computation","Hao Hao, 
      
      Peter Zhang",2025
"The sub-Riemannian geometry of measurement based quantum computation","Lukas Hantzko, 
      
      Arnab Adhikary, 
      
      Robert Raussendorf",2025
"MAT-DiSMech: A Discrete Differential Geometry-based Computational Tool for Simulation of Rods, Shells, and Soft Robots","Radha Lahoti, 
      
      M. Khalid Jawed",2025
"Symbolic Computation with Symmetric Polynomials in Real Algebraic Geometry","Cordian Riener, 
      
      Thi Xuan Vu",2025
"Computational Geometry with Probabilistically Noisy Primitive Operations","David Eppstein, 
      
      Michael T. Goodrich, 
      
      Vinesh Sridhar",2025
"Geometry, Computation, and Optimality in Stochastic Optimization","Chen Cheng, 
      
      Daniel Levy, 
      
      John C. Duchi",2025
"Quantum Information Geometry Meets DMRG: Uhlmann Gauge Improvements in Computational Methods","Andrei Tudor Patrascu",2025
"Online Multivariate Changepoint Detection: Leveraging Links With Computational Geometry","Liudmila Pishchagina, 
      
      Gaetano Romano, 
      
      Paul Fearnhead, 
      
      Vincent Runge, 
      
      Guillem Rigaill",2025
"Computational study of geometry, electronic structure and low-lying excited states of linear T-graphene quantum dots","Arifa Nazir, 
      
      Alok Shukla",2025
"Learning the Analytic Geometry of Transformations to Achieve Efficient Computation","Pei-Chun Su, 
      
      Ronald R. Coifman",2025
"Very fast general Electromagnetic Analysis with computational conformal geometry via Conformal Energy Minimization","Pengcheng Wan, 
      
      Zhong-Heng Tan, 
      
      S. T. Chui, 
      
      Tiexiang Li, 
      
      S. T. Yau",2025
"Bregman-Hausdorff divergence: strengthening the connections between computational geometry and machine learning","Tuyen Pham, 
      
      Hana Dal Poz Kouřimská, 
      
      Hubert Wagner",2025
"Artificial Spin Ice: A Tutorial on Design and Control of Geometry, Microstate, Magnon Dynamics & Neuromorphic Computing","Rawnak Sultana, 
      
      Amrit Kumar Mondal, 
      
      Vinayak Shantaram Bhat, 
      
      Kilian Stenning, 
      
      Yue Li, 
      
      Daan M. Arroo, 
      
      Aastha Vasdev, 
      
      Margaret R. McCarter, 
      
      Lance E. De Long, 
      
      J. Todd Hastings, 
      
      Jack C. Gartside, 
      
      M. Benjamin Jungfleisch",2025
"Riemannian Geometry for the classification of brain states with intracortical brain-computer interfaces","Arnau Marin-Llobet, 
      
      Arnau Manasanch, 
      
      Sergio Sanchez-Manso, 
      
      Lluc Tresserras, 
      
      Xinhe Zhang, 
      
      Yining Hua, 
      
      Hao Zhao, 
      
      Melody Torao-Angosto, 
      
      Maria V Sanchez-Vives, 
      
      Leonardo Dalla Porta",2025
"Information geometry of Bayes computations","Giovanni Pistone",2025
"Euclidean and complex geometries from real-time computations of gravitational Rényi entropies","Jesse Held, 
      
      Xiaoyi Liu, 
      
      Donald Marolf, 
      
      Zhencheng Wang",2025
"On the practical applicability of modern DFT functionals for chemical computations. Case study of DM21 applicability for geometry optimization","Kirill Kulaev, 
      
      Alexander Ryabov, 
      
      Michael Medvedev, 
      
      Evgeny Burnaev, 
      
      Vladimir Vanovskiy",2025
"Geometry of the Space of Partitioned Networks: A Unified Theoretical and Computational Framework","Stephen Y Zhang, 
      
      Fangfei Lan, 
      
      Youjia Zhou, 
      
      Agnese Barbensi, 
      
      Michael P H Stumpf, 
      
      Bei Wang, 
      
      Tom Needham",2024
"Learning a Filtered Backprojection Reconstruction Method for Photoacoustic Computed Tomography with Hemispherical Measurement Geometries","Panpan Chen, 
      
      Seonyeong Park, 
      
      Refik Mert Cam, 
      
      Hsuan-Kai Huang, 
      
      Alexander A. Oraevsky, 
      
      Umberto Villa, 
      
      Mark A. Anastasio",2024
"Enhancing binary classification: A new stacking method via leveraging computational geometry","Wei Wu, 
      
      Liang Tang, 
      
      Zhongjie Zhao, 
      
      Chung-Piaw Teo",2024
"A Step towards Computational Derived Algebraic Geometry: The RepHomology Package For Macaulay2","Guanyu Li",2024
"A Generic MATLAB Toolbox to Approximate PDEs Using Computational Geometry","Kiefer Green, 
      
      Harbir Antil",2024
"Modern Tensor-Spinor Symbolic Algebra Algorithms and Computing Non-Closure Geometry & Holoraumy in 11D, N = 1 Supergravity","S. James Gates Jr., 
      
      Isaiah B. Hilsenrath, 
      
      Saul Hilsenrath",2024
"The computational power of random quantum circuits in arbitrary geometries","Matthew DeCross, 
      
      Reza Haghshenas, 
      
      Minzhao Liu, 
      
      Enrico Rinaldi, 
      
      Johnnie Gray, 
      
      Yuri Alexeev, 
      
      Charles H. Baldwin, 
      
      John P. Bartolotta, 
      
      Matthew Bohn, 
      
      Eli Chertkov, 
      
      Julia Cline, 
      
      Jonhas Colina, 
      
      Davide DelVento, 
      
      Joan M. Dreiling, 
      
      Cameron Foltz, 
      
      John P. Gaebler, 
      
      Thomas M. Gatterman, 
      
      Christopher N. Gilbreth, 
      
      Joshua Giles, 
      
      Dan Gresh, 
      
      Alex Hall, 
      
      Aaron Hankin, 
      
      Azure Hansen, 
      
      Nathan Hewitt, 
      
      Ian Hoffman
      , et al. (27 additional authors not shown)",2024
"Laplace-HDC: Understanding the geometry of binary hyperdimensional computing","Saeid Pourmand, 
      
      Wyatt D. Whiting, 
      
      Alireza Aghasi, 
      
      Nicholas F. Marshall",2024
"Computing Brascamp-Lieb Constants through the lens of Thompson Geometry","Melanie Weber, 
      
      Suvrit Sra",2024
"Modeling Melt Pool Geometry in Metal Additive Manufacturing Using Goldak's Semi-Ellipsoidal Heat Source: A Data-driven Computational Approach","Mohsen Asghari Ilani, 
      
      Yaser Mike Banad",2024
"Direct, simple, and efficient computation of all components of the virtual-casing magnetic field in axisymmetric geometries with Kapur-Rokhlin quadrature","Evan Toler, 
      
      Antoine Cerfon, 
      
      Dhairya Malhotra",2024
"CarbonNet: How Computer Vision Plays a Role in Climate Change? Application: Learning Geomechanics from Subsurface Geometry of CCS to Mitigate Global Warming","Wei Chen, 
      
      Yunan Li, 
      
      Yuan Tian",2024
"Landau Singularities Revisited: Computational Algebraic Geometry for Feynman Integrals","Claudia Fevola, 
      
      Sebastian Mizera, 
      
      Simon Telen",2024
"Annotated square root computation in Liber Abaci and De Practica Geometrie by Fibonacci","Trond Steihaug",2024
"The Geometry of Quantum Computing","E. Ercolessi, 
      
      R. Fioresi, 
      
      T. Weber",2023
"Optimizing Fault-Tolerant Quality-Guaranteed Sensor Deployments for UAV Localization in Critical Areas via Computational Geometry","Marco Esposito, 
      
      Toni Mancini, 
      
      Enrico Tronci",2023
"Exhaustive search for optimal molecular geometries using imaginary-time evolution on a quantum computer","Taichi Kosugi, 
      
      Hirofumi Nishi, 
      
      Yuichiro Matsushita",2023
"A Grassmann Manifold Handbook: Basic Geometry and Computational Aspects","Thomas Bendokat, 
      
      Ralf Zimmermann, 
      
      P. -A. Absil",2023
"Beyond Geometry: Comparing the Temporal Structure of Computation in Neural Circuits with Dynamical Similarity Analysis","Mitchell Ostrow, 
      
      Adam Eisen, 
      
      Leo Kozachkov, 
      
      Ila Fiete",2023
"Geometry of Set Functions in Game Theory: Combinatorial and Computational Aspects","Dylan Laplace Mermoud",2023
"Hyperbolic Geometry in Computer Vision: A Survey","Pengfei Fang, 
      
      Mehrtash Harandi, 
      
      Trung Le, 
      
      Dinh Phung",2023
"Computing hydrodynamic interactions in confined doubly-periodic geometries in linear time","Aref Hashemi, 
      
      Raul P. Pelaez, 
      
      Sachin Natesh, 
      
      Brennan Sprinkle, 
      
      Ondrej Maxian, 
      
      Zecheng Gan, 
      
      Aleksandar Donev",2023
"MindSculpt: Using a Brain-Computer Interface to Enable Designers to Create Diverse Geometries by Thinking","Qi Yang, 
      
      Jesus G. Cruz-Garza, 
      
      Saleh Kalantari",2023
"Storage in Computational Geometry","Yijie Han, 
      
      Sanjeev Saxena",2023
"Expected Frequency Matrices of Elections: Computation, Geometry, and Preference Learning","Niclas Boehmer, 
      
      Robert Bredereck, 
      
      Edith Elkind, 
      
      Piotr Faliszewski, 
      
      Stanisław Szufa",2023
"Computational Co-Design for Variable Geometry Truss","Jianzhe Gu, 
      
      Lining Yao",2022
"Constraint Inequalities from Hilbert Space Geometry & Efficient Quantum Computation","Chinonso Onah",2022
"Projective Geometry, Duality and Plucker Coordinates for Geometric Computations with Determinants on GPUs","Vaclav Skala",2022
"Deciding Cuspidality of Manipulators through Computer Algebra and Algorithms in Real Algebraic Geometry","Damien Chablat, 
      
      Rémi Prébet, 
      
      Mohab Safey El Din, 
      
      Durgesh Salunkhe, 
      
      Philippe Wenger",2022
"ParGeo: A Library for Parallel Computational Geometry","Yiqiu Wang, 
      
      Rahul Yesantharao, 
      
      Shangdi Yu, 
      
      Laxman Dhulipala, 
      
      Yan Gu, 
      
      Julian Shun",2022
"ICLR 2022 Challenge for Computational Geometry and Topology: Design and Results","Adele Myers, 
      
      Saiteja Utpala, 
      
      Shubham Talbar, 
      
      Sophia Sanborn, 
      
      Christian Shewmake, 
      
      Claire Donnat, 
      
      Johan Mathe, 
      
      Umberto Lupo, 
      
      Rishi Sonthalia, 
      
      Xinyue Cui, 
      
      Tom Szwagier, 
      
      Arthur Pignet, 
      
      Andri Bergsson, 
      
      Soren Hauberg, 
      
      Dmitriy Nielsen, 
      
      Stefan Sommer, 
      
      David Klindt, 
      
      Erik Hermansen, 
      
      Melvin Vaupel, 
      
      Benjamin Dunn, 
      
      Jeffrey Xiong, 
      
      Noga Aharony, 
      
      Itsik Pe'er, 
      
      Felix Ambellan, 
      
      Martin Hanik
      , et al. (3 additional authors not shown)",2022
"Computational Determination of the Electronic Structure for different Graphene Quantum Dot geometries","Alexander Leon, 
      
      Juan E. Gomez, 
      
      Freddy R. Perez",2022
"Computational Fluid Dynamics and Machine Learning as tools for Optimization of Micromixers geometry","Daniela de Oliveira Maionchi, 
      
      Luca Ainstein, 
      
      Fabio Pereira dos Santos, 
      
      Maurício Bezerra de Souza Júnior",2022
"Alternating Minimization for Computed Tomography with Unknown Geometry Parameters","Mai Phuong Pham Huynh, 
      
      Manuel Santana, 
      
      Ana Castillo",2022
"PTOPO: Computing the Geometry and the Topology of Parametric Curves","Christina Katsamaki, 
      
      Fabrice Rouillier, 
      
      Elias Tsigaridas",2022
"Noncommutative Geometry of Computational Models and Uniformization for Framed Quiver Varieties","George Jeffreys, 
      
      Siu-Cheong Lau",2022
"Fine-Grained Complexity Theory: Conditional Lower Bounds for Computational Geometry","Karl Bringmann",2021
"Real-space numerical renormalization-group computation of transport properties in the side-coupled geometry","Ana Luiza Ferrari, 
      
      Luiz N. Oliveira",2021
"Topological Order, Quantum Codes and Quantum Computation on Fractal Geometries","Guanyu Zhu, 
      
      Tomas Jochym-O'Connor, 
      
      Arpit Dua",2021
"ICLR 2021 Challenge for Computational Geometry & Topology: Design and Results","Nina Miolane, 
      
      Matteo Caorsi, 
      
      Umberto Lupo, 
      
      Marius Guerard, 
      
      Nicolas Guigui, 
      
      Johan Mathe, 
      
      Yann Cabanes, 
      
      Wojciech Reise, 
      
      Thomas Davies, 
      
      António Leitão, 
      
      Somesh Mohapatra, 
      
      Saiteja Utpala, 
      
      Shailja Shailja, 
      
      Gabriele Corso, 
      
      Guoxi Liu, 
      
      Federico Iuricich, 
      
      Andrei Manolache, 
      
      Mihaela Nistor, 
      
      Matei Bejan, 
      
      Armand Mihai Nicolicioiu, 
      
      Bogdan-Alexandru Luchian, 
      
      Mihai-Sorin Stupariu, 
      
      Florent Michel, 
      
      Khanh Dao Duc, 
      
      Bilal Abdulrahman
      , et al. (8 additional authors not shown)",2021
"Algebraic Geometry and Representation theory in the study of matrix multiplication complexity and other problems in theoretical computer science","J. M. Landsberg",2021
"A computational geometry approach for modeling neuronal fiber pathways","S. Shailja, 
      
      Angela Zhang, 
      
      B. S. Manjunath",2021
"Estimates for Interpolation Projectors and Related Problems in Computational Geometry","Mikhail Nevskii, 
      
      Alexey Ukhalov",2021
"On Computational Poisson Geometry II: Numerical Methods","M. Evangelista-Alvarado, 
      
      J. C. Ruíz-Pantaleón, 
      
      P. Suárez-Serrato",2021
"Propagating geometry information to finite element computations","Luca Heltai, 
      
      Wolfgang Bangerth, 
      
      Martin Kronbichler, 
      
      Andrea Mola",2021
"Limits of quantum speed-ups for computational geometry and other problems: Fine-grained complexity via quantum walks","Harry Buhrman, 
      
      Bruno Loff, 
      
      Subhasree Patro, 
      
      Florian Speelman",2021
"Solving the One-dimensional Distance Geometry Problem by Optical Computing","S. B. Hengeveld, 
      
      N. Rubiano da Silva, 
      
      D. S. Gonçalves, 
      
      P. H. Souto Ribeiro, 
      
      A. Mucherino",2021
"Knudsen diffusivity in random billiards: spectrum, geometry, and computation","Timothy Chumley, 
      
      Renato Feres, 
      
      Luis Alberto Garcia German",2021
"Casas-Alvero conjecture in computational algebraic geometry","Zhipeng Lu",2021
"Two-grid method on unstructured tetrahedra: Applying computational geometry to staggered solution of coupled flow and mechanics problems","Saumik Dana, 
      
      Xiaoxi Zhao, 
      
      Birendra Jha",2021
"An information geometry approach for robustness analysis in uncertainty quantification of computer codes","Clement Gauchy, 
      
      Jerome Stenger, 
      
      Roman Sueur, 
      
      Bertrand Iooss",2020
"Differentiable Computational Geometry for 2D and 3D machine learning","Yuanxin Zhong",2020
"Flow and Elastic Networks on the $n$-torus: Geometry, Analysis, and Computation","Saber Jafarpour, 
      
      Elizabeth Y. Huang, 
      
      Kevin D. Smith, 
      
      Francesco Bullo",2020
"A methodology for the measurement of track geometry based on computer vision and inertial sensors","José L. Escalona",2020
"Making Affine Correspondences Work in Camera Geometry Computation","Daniel Barath, 
      
      Michal Polic, 
      
      Wolfgang Förstner, 
      
      Torsten Sattler, 
      
      Tomas Pajdla, 
      
      Zuzana Kukelova",2020
"SketchGraphs: A Large-Scale Dataset for Modeling Relational Geometry in Computer-Aided Design","Ari Seff, 
      
      Yaniv Ovadia, 
      
      Wenda Zhou, 
      
      Ryan P. Adams",2020
"Computing the spectral action for fuzzy geometries: from random noncommutative geometry to bi-tracial multimatrix models","Carlos I. Perez-Sanchez",2020
"Fast Computation of Electromagnetic Wave Propagation and Scattering for Quasi-cylindrical Geometry","Shaolin Liao",2020
"Curvature computations in Finsler Geometry using a distinguished class of anisotropic connections","Miguel Ángel Javaloyes",2020
"Subsurface Boundary Geometry Modeling: Applying Computational Physics, Computer Vision and Signal Processing Techniques to Geoscience","Raymond Leung",2020
"An approximation strategy to compute accurate initial density matrices for repeated self-consistent field calculations at different geometries","E. Polack, 
      
      A. Mikhalev, 
      
      Geneviève Dusson, 
      
      B. Stamm, 
      
      F. Lipparini",2020
"Quantum algorithms for computational geometry problems","Andris Ambainis, 
      
      Nikita Larka",2020
"New Opportunities for the Formal Proof of Computational Real Geometry?","Erika {Á}brahám, 
      
      James Davenport, 
      
      Matthew England, 
      
      Gereon Kremer, 
      
      Zak Tonks",2020
"Understanding truncated non-commutative geometries through computer simulations","Lisa Glaser, 
      
      Abel Stern",2020
"On Computational Poisson Geometry I: Symbolic Foundations","M. A. Evangelista-Alvarado, 
      
      J. C. Ruíz-Pantaleón, 
      
      P. Suárez-Serrato",2019
"Discontinuous Galerkin approximations in computational mechanics: hybridization, exact geometry and degree adaptivity","Matteo Giacomini, 
      
      Ruben Sevilla",2019
"Information geometry for approximate Bayesian computation","Konstantinos Spiliopoulos",2019
